################################################################
# K2GAP DR1                             
# Stello et al. 2017, ApJ, 835, 83
# Frequency            Power density                                                   
# MicroHertz           Parts per million squared per microHertz
################################################################
7.8343580E+00          1.1362314E+03
7.8632670E+00          2.1672463E+02
7.8921761E+00          2.1052705E+01
7.9210852E+00          4.3873034E+02
7.9499942E+00          1.0695397E+03
7.9789033E+00          1.4067051E+03
8.0078124E+00          1.1487815E+03
8.0367215E+00          5.2090188E+02
8.0656305E+00          2.0363193E+02
8.0945396E+00          8.2242182E+02
8.1234487E+00          2.3688310E+03
8.1523577E+00          4.0672289E+03
8.1812668E+00          4.9139739E+03
8.2101759E+00          4.4455773E+03
8.2390849E+00          3.0273883E+03
8.2679940E+00          1.4765799E+03
8.2969031E+00          4.5702674E+02
8.3258122E+00          1.3085198E+02
8.3547212E+00          2.3387353E+02
8.3836303E+00          4.1213784E+02
8.4125394E+00          4.7488168E+02
8.4414484E+00          4.2232580E+02
8.4703575E+00          3.5784541E+02
8.4992666E+00          3.8926675E+02
8.5281756E+00          5.5703589E+02
8.5570847E+00          8.0471170E+02
8.5859938E+00          1.0099567E+03
8.6149029E+00          1.0627764E+03
8.6438119E+00          9.3640168E+02
8.6727210E+00          6.9496072E+02
8.7016301E+00          4.3002300E+02
8.7305391E+00          2.1313677E+02
8.7594482E+00          1.1304180E+02
8.7883573E+00          2.0326821E+02
8.8172663E+00          5.0568656E+02
8.8461754E+00          9.1522283E+02
8.8750845E+00          1.2177645E+03
8.9039936E+00          1.2403837E+03
8.9329026E+00          9.9930110E+02
8.9618117E+00          7.0691179E+02
8.9907208E+00          6.2839505E+02
9.0196298E+00          8.8506872E+02
9.0485389E+00          1.3728769E+03
9.0774480E+00          1.8648851E+03
9.1063570E+00          2.1702068E+03
9.1352661E+00          2.2293105E+03
9.1641752E+00          2.1270298E+03
9.1930843E+00          2.0086329E+03
9.2219933E+00          1.9347218E+03
9.2509024E+00          1.8160495E+03
9.2798115E+00          1.5117033E+03
9.3087205E+00          9.9377822E+02
9.3376296E+00          4.2474958E+02
9.3665387E+00          6.4486378E+01
9.3954477E+00          5.2724029E+01
9.4243568E+00          2.8828114E+02
9.4532659E+00          5.6170662E+02
9.4821750E+00          7.9819236E+02
9.5110840E+00          1.1504876E+03
9.5399931E+00          1.7921004E+03
9.5689022E+00          2.5914885E+03
9.5978112E+00          3.0912557E+03
9.6267203E+00          2.8697341E+03
9.6556294E+00          1.9338111E+03
9.6845384E+00          7.9430712E+02
9.7134475E+00          1.0758146E+02
9.7423566E+00          1.6582514E+02
9.7712657E+00          7.1098363E+02
9.8001747E+00          1.2049169E+03
9.8290838E+00          1.2695584E+03
9.8579929E+00          9.1897784E+02
9.8869019E+00          4.4388735E+02
9.9158110E+00          1.2904660E+02
9.9447201E+00          6.5385496E+01
9.9736291E+00          1.6545082E+02
1.0002538E+01          2.9830622E+02
1.0031447E+01          3.8950971E+02
1.0060356E+01          4.2792685E+02
1.0089265E+01          4.2622999E+02
1.0118174E+01          3.9152830E+02
1.0147084E+01          3.2720181E+02
1.0175993E+01          2.4718220E+02
1.0204902E+01          1.7442669E+02
1.0233811E+01          1.2752813E+02
1.0262720E+01          1.1520223E+02
1.0291629E+01          1.4032975E+02
1.0320538E+01          2.0327935E+02
1.0349447E+01          2.9806685E+02
1.0378356E+01          4.0517380E+02
1.0407265E+01          4.9337560E+02
1.0436174E+01          5.3380829E+02
